cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Doublet 0,0	Doublet 0,1	Doublet 0,2	Doublet 0,3	Doublet 0,4	Doublet 0,5	Doublet 1,1	Doublet 1,2	Doublet 1,3	Doublet 1,4	Doublet 1,5	Doublet 2,2	Doublet 2,3	Doublet 2,4	Doublet 2,5	Doublet 3,3	Doublet 3,4	Doublet 3,5	Doublet 4,4	Doublet 4,5	Doublet 5,5
35	1.2949e-46	9.98014e-09	0.0362756	1.49112e-08	2.05938e-21	0.865542	8.92511e-49	1.37576e-10	0.000268677	2.0555e-10	2.07673e-11	0.00641068	2.7841e-11	3.27345e-05	2.50434e-11	8.40526e-12	0.00078105	0.0010773	4.89081e-05	4.94131e-06	0.0514093	1.87084e-11	3.78032e-12	0.00116695	7.68388e-24	0.0001179	0.0368641
36	1.7378e-24	8.48886e-05	0.379093	0.000126831	8.05215e-29	0.54464	1.19778e-26	1.17019e-06	0.00233974	1.74836e-06	3.04766e-06	0.00336149	2.36809e-07	0.000285065	2.13012e-07	1.2335e-06	0.000409549	0.0112582	0.00042591	0.000742429	0.0323492	1.59129e-07	5.54775e-07	0.000611901	3.00439e-31	0.00106664	0.0231966
37	2.34166e-14	1.01062e-05	0.453515	9.15245e-05	7.10294e-10	0.478516	1.61399e-16	1.39314e-07	0.00222584	1.26166e-06	1.47042e-07	0.00234855	2.81927e-08	4.474e-05	2.53598e-08	5.95134e-08	4.72064e-05	0.0134684	0.000405176	4.72219e-05	0.0284217	1.14832e-07	2.67666e-08	0.000427513	2.65022e-12	4.98251e-05	0.0203804
38	2.30938e-32	0.00728097	0.79179	0.0108784	0.149545	0.0100274	1.59174e-34	0.000100368	0.00354951	0.000149958	6.62738e-05	4.49519e-05	2.03113e-05	0.000432457	1.82703e-05	2.68234e-05	5.47675e-06	0.0235144	0.000646127	0.000285555	0.000595585	1.36487e-05	1.2064e-05	8.18273e-06	0.000557976	3.61634e-06	0.000427077
39	1.27088e-27	1.84255e-07	0.282944	2.92581e-06	1.44613e-22	0.636784	8.75953e-30	2.53995e-09	0.00177541	4.03323e-08	1.33182e-09	0.00399568	5.14004e-10	2.03527e-05	4.62354e-10	5.39038e-10	4.5805e-05	0.00840281	0.000323184	1.0672e-05	0.0378221	3.6709e-09	2.42436e-10	0.000727345	5.39575e-25	2.40179e-05	0.0271211
40	9.0569e-23	2.51604e-06	0.0832026	1.41396e-05	1.39785e-18	0.82225	6.24246e-25	3.46835e-08	0.000618042	1.94915e-07	5.37294e-09	0.0061078	7.01884e-09	2.00192e-05	6.31354e-09	2.17462e-09	0.00019784	0.00247093	0.000112504	3.10124e-06	0.0488379	1.77404e-08	9.78051e-10	0.00111182	5.21559e-21	3.0648e-05	0.0350203
41	4.77514e-27	2.95989e-08	0.351493	3.77357e-07	1.81201e-16	0.566331	3.29126e-29	4.0802e-10	0.00446453	5.20186e-09	7.86061e-11	0.00719332	8.25703e-11	6.37452e-05	7.42731e-11	3.18147e-11	0.000102707	0.0104386	0.00081269	1.22807e-05	0.0336375	4.73455e-10	1.43089e-11	0.00130942	6.76089e-19	1.97868e-05	0.0241205
42	1.03289e-29	6.86613e-16	0.703501	9.32102e-15	2.76526e-32	0.218388	7.11919e-32	9.46495e-18	0.0222768	1.2849e-16	1.1857e-18	0.00691537	1.9154e-18	0.00029871	1.72293e-18	4.79897e-19	9.27286e-05	0.0208924	0.0040551	3.74204e-05	0.0129712	1.16947e-17	2.15837e-19	0.00125882	1.03176e-34	1.16164e-05	0.00930131
43	6.13209e-22	4.326e-09	0.443538	3.81347e-09	1.84485e-14	0.481748	4.22654e-24	5.96338e-11	0.00417606	5.25686e-11	1.0403e-11	0.00453581	1.2068e-11	0.000862348	1.08553e-11	4.21046e-12	0.000936636	0.0131721	0.000760179	0.000150434	0.0286136	4.78461e-12	1.89368e-12	0.000825667	6.88342e-17	0.000163394	0.020518
44	2.75401e-23	2.32414e-06	0.472043	3.47246e-06	2.59708e-29	0.441633	1.8982e-25	3.20383e-08	0.0102158	4.78679e-08	1.96318e-08	0.00955764	6.48353e-09	0.00124465	5.83202e-09	7.94568e-09	0.00116446	0.0140186	0.0018596	0.000762668	0.026231	4.35676e-09	3.57362e-09	0.0017398	9.69011e-32	0.000713535	0.0188095
